,county,original_tweet,tweets_list,tweet_str,tweet_slice,tweet_text
21,Marion County IN,['RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'],"['RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 '2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as always ! @Cardcollector2 https://t.co/vCB2xiuZcd'
 'RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 'RT @VisitHamiltonCo: Tourney time is here! Show your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'
 'Keep your mask clean and germ free! #reviveamask Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW']",['RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'],tscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'],'rt jjallstarsports:  j  j allstar sportscards show jjallstarsports this saturday in indianapolis mandatory mask free admission as']
21,Marion County IN,['RT @VisitHamiltonCo: Tourney time is here! Show your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'],"['RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 '2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as always ! @Cardcollector2 https://t.co/vCB2xiuZcd'
 'RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 'RT @VisitHamiltonCo: Tourney time is here! Show your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'
 'Keep your mask clean and germ free! #reviveamask Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW']",['RT @VisitHamiltonCo: Tourney time is here! Show your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'],your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'],'rt visithamiltonco: tourney time is here show your basketball pride with one of these face masks \n\nenter to win -- 
21,Marion County IN,['Keep your mask clean and germ free! #reviveamask Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW'],"['RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 '2021 J &amp; J Allstar Sportscards Show @jjallstarsports\nthis Saturday in Indianapolis. Mandatory Mask. Free Admission as always ! @Cardcollector2 https://t.co/vCB2xiuZcd'
 'RT @jjallstarsports: 2021 J &amp; J Allstar Sportscards Show @jjallstarsports this Saturday in Indianapolis. Mandatory Mask. Free Admission as…'
 'RT @VisitHamiltonCo: Tourney time is here! Show your basketball pride with one of these face masks 😷🏀\n\nEnter to win --&gt; https://t.co/0TJnd1…'
 'Keep your mask clean and germ free! #reviveamask Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW']",['Keep your mask clean and germ free! #reviveamask Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW'], Sanitizer and #MaskCleaner is a Natural #MaskSanitizer with #essentialoils. Alcohol free.\u2060 https://t.co/qsPZd4QPLu free shipping! https://t.co/HnelAuZbqW'],'keep your mask clean and germ free #reviveamask sanitizer and #maskcleaner is a natural #masksanitizer with #essentialoils alcohol free\u  free shipping 
22,Jefferson County KY,"['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X']","['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets'
 ""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""
 'RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']","['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X']"," class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X']",'kycoviddata recd email from my sunday school class (were the youngest and have zero plans of getting jabbed)  everyones welcome to come back mask-free as long as theyve been vaxxed if you decide to come back and youre not vaccinated everyone including those already vaxxed must mask 
22,Jefferson County KY,"[""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""]","['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets'
 ""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""
 'RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']","[""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""]"," encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""]",berlinnaeus jesus wept at the people tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates]
22,Jefferson County KY,['RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'],"['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets'
 ""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""
 'RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']",['RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'],e state of Texas. Feel free to check in with them to ensure they are continuing to support…'],'rt kazweida: here are the top  employers in the state of texas feel free to check in with them to ensure they are continuing to support']
22,Jefferson County KY,"['BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']","['@kycovid19data Rec’d email from my Sunday School class (we’re the youngest and have ZERO plans of getting jabbed).  Everyone’s welcome to come back mask-free, as long as they’ve been vaxxed. If you decide to come back and you’re not vaccinated, everyone including those already vaxxed must mask. https://t.co/5UHfPQ7S3X'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets'
 ""@Berlinnaeus Jesus wept at the people Tracey has encouraged to turn up at all the virus spreading rally's tomorrow with ridiculous mask free certificates.""
 'RT @kazweida: Here are the top 4 employers in the state of Texas. Feel free to check in with them to ensure they are continuing to support…'
 'BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']","['BOX SET BONANZA! \n\nThe 9 Lives of Ski Mask: Complete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']","mplete Collection is only 99 cents! \n\nMany of the other box sets are on sale! Not quite that low, but still great deals! \n\nSome are FREE with Kindle Unlimited! \n\nTake a look! \n\nhttps://t.co/tNFzJFBjvH\n\n#boxsetsbooksale\n#cheapboxsets']",'box set bonanza \n\nthe  lives of ski mask: complete collection is only  cents \n\nmany of the other box sets are on sale not quite that low but still great deals \n\nsome are free with kindle unlimited \n\ntake a look \n\n
23,Johnson County KS,['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'],"['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'
 ""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""
 'RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 'And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 ""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]",['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'],city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'],'the emporia city commission voted to extend the citys mask ordinance until april  during its action session on wednesday evening 
23,Johnson County KS,"[""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""]","['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'
 ""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""
 'RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 'And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 ""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]","[""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""]",". Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""]",nbtmsh shadowthewolf as i stated it's foss free software can be literally modified however the user wants there are mods out there that can mask the user agent and client name\n\nsince telegram is foss it is trivial to get the official client's unique key even some twitter clients do this actually]
23,Johnson County KS,['RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'],"['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'
 ""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""
 'RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 'And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 ""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]",['RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'],Cana #MaskFree https://t.co/VWb5UXthZ7'],'rt hctiws: and not a mask in sight#puntacana #maskfree 
23,Johnson County KS,['And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'],"['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'
 ""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""
 'RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 'And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 ""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]",['And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'],https://t.co/VWb5UXthZ7'],'and not a mask in sight#puntacana #maskfree 
23,Johnson County KS,"[""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]","['The Emporia City Commission voted to extend the city’s mask ordinance until April 10 during its action session on Wednesday evening. https://t.co/syxNP5UsyG'
 ""@nbtm_sh @Shadow_TheWolf2 As I stated, it's FOSS. Free software can be literally modified however the user wants. There are mods out there that can mask the user agent and client name.\n\nSince Telegram is FOSS it is trivial to get the official client's unique key, even some Twitter clients do this actually""
 'RT @HCTIWS_14: And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 'And not a mask in sight....#PuntaCana #MaskFree https://t.co/VWb5UXthZ7'
 ""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]","[""@galvestonpd PD: Because of you, I have ended my 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]"," 20 year campaign for fallen police officers. Arresting a 65 year old woman in a Bank of America, a day after Texas removed the mask mandate is NAZI tactics! THIS is America, we're free!\n#Shameful \nhttps://t.co/Oxa0fcpzFx""]",galvestonpd pd: because of you i have ended my  year campaign for fallen police officers arresting a  year old woman in a bank of america a day after texas removed the mask mandate is nazi tactics this is america we're free\n#shameful \n
24,King County WA,"['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7']","['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7'
 '@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'
 '✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX'
 'Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'
 ""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]","['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7']","to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7']",'new event\nfree drive-thru food event\ncome to marymoor park at  w lk sammamish pkwy ne redmond wa at am - pm\nplease come with your car trunk empty and your mask on\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #washington #freefood #redmond 
24,King County WA,['@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'],"['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7'
 '@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'
 '✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX'
 'Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'
 ""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]",['@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'],o not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'],'hzairs itsjustkendyll you must be very naive to not see how many ppl are voicing out about it ari stans were voicing out when billie won last time are you living under a rock zayn and the weeknd just recently called out the scammys google is free research im done here wear a mask n stay safe']
24,King County WA,"['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX']","['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7'
 '@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'
 '✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX'
 'Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'
 ""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]","['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX']","to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX']",'new event\nfree drive-thru food event\ncome to park ridge community church at  maltby rd bothell  wa at am - pm\nplease come with your car trunk empty and your mask on\n#farmerstofamilies #foodsecurity #farmers #farmtotable #bothell #washington #freefood #redmond 
24,King County WA,['Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'],"['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7'
 '@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'
 '✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX'
 'Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'
 ""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]",['Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'],en and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'],'government announce new safety mearsures for women and girls a free churchill face mask\n\n#allwomen #reclaimthestreets 
24,King County WA,"[""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]","['✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Marymoor Park at 6046 W Lk Sammamish Pkwy NE, Redmond, WA at 11AM - 12PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #marymoor #Washington #freefood #Redmond https://t.co/QhszPtvwB7'
 '@hzairs @itsjustkendyll you must be very naive to not see how many ppl are voicing out about it. Ari stans were voicing out when billie won last time are you living under a rock?? Zayn and the weeknd just recently called out the scammys. Google is free. Research. I’m done here. Wear a mask n stay safe.'
 '✨New Event!✨\nFree Drive-Thru Food Event!\nCome to Park Ridge Community Church at 3805 Maltby Rd. Bothell , Wa at 11AM - 1PM!\nPlease come with your car trunk empty and your mask on!\n#farmerstofamilies #foodsecurity #farmers #farmtotable #Bothell #Washington #freefood #Redmond https://t.co/jQ3IvLIBEX'
 'Government announce new safety mearsures for women and girls... a free Churchill face mask\n\n#AllWomen #ReclaimTheStreets https://t.co/Z4ifHjMQrR'
 ""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]","[""@aubrey_huff Hi....I'm a mask.  I live rent free in Aubrey's head..... https://t.co/H38LKOnatV""]"," in Aubrey's head..... https://t.co/H38LKOnatV""]",aubreyhuff hii'm a mask  i live rent free in aubrey's head 
